Farm_ID,Date,Demand_kg,AvgTemp_C,Rainfall_mm,Price_per_kg,Household_Income
F4,2021-12,431.6,22.5,69.2,180.39,44682.56
F4,2022-01,407,27.6,65.2,157.94,66483.94
F4,2022-02,538.6,28.6,79.4,187.79,46550.37
F4,2022-03,290.1,29.3,86.8,182.5,44421.84
F4,2022-04,508,27.5,118.4,177.87,66838.56
F4,2022-05,423.2,24.6,177,152.7,83516.94
F4,2022-06,317.8,27.1,157,149.96,48713.47
F4,2022-07,450,25,126.7,189.46,54367.59
F4,2022-08,351.2,27,259.1,146.06,73405.47
F4,2022-09,464.8,29.7,244.6,133.48,40287.81
F4,2022-10,389.3,22.3,288.3,162.55,66559.7
F4,2022-11,508.7,26.9,73.7,175.91,69951.72
F4,2022-12,308.7,27.2,55.5,188.01,66768.38
F4,2023-01,467.5,23.6,93.7,188.35,34193.32
F4,2023-02,406.9,31.8,106.6,202.37,40255.95
F4,2023-03,400.7,31.4,53.8,196.51,55707.47
F4,2023-04,459.8,29.6,94.3,186.29,55174.41
F4,2023-05,346.9,25.5,203.8,173.79,75111.66
F4,2023-06,440.9,26.4,137.3,154.54,60007.5
F4,2023-07,363,24.4,209.8,185.44,66619.61
F4,2023-08,383.8,26.5,163.3,172.23,62286.52
F4,2023-09,462.8,28.3,259.1,155.76,77801.02
F4,2023-10,447.1,25.5,271.8,193.3,41316.09
F4,2023-11,333.9,27.4,30.6,182.93,56764.99
F4,2023-12,345.3,27.8,52.5,144.05,48632.16
F4,2024-01,472.6,25.4,70.5,181.08,47074.45
F4,2024-02,517.2,25.7,70.6,183.4,56825
F4,2024-03,477.3,29.4,57.4,140.24,79154.48
F4,2024-04,431.9,27.6,216.9,166.93,77059.72
F4,2024-05,377.6,24.1,216.9,184.06,75535.87
F4,2024-06,478.6,26,241,146.36,66742.11
F4,2024-07,461.1,24,304.3,165.2,98320.29
F4,2024-08,314,24.3,167.9,173.92,46438.98
F4,2024-09,486.7,26.5,122.6,169.61,47434.36
F4,2024-10,469.1,27.7,146,201.8,68611.07
F4,2024-11,411.2,23.3,98,151.6,29618.73
F4,2024-12,448.6,25.3,86.2,149.47,78450.01
F5,2014-01,383.6,29.3,50.7,146.43,63270.38
F5,2014-02,389.5,29.8,50.4,164.99,60329.16
F5,2014-03,429.5,28.6,28.7,209.2,83752.16
F5,2014-04,379.6,34,144.1,193.45,67662.94
F5,2014-05,365.9,24.9,322.2,149.52,55802.84
F5,2014-06,319.9,27,151.8,171.62,49784.17
F5,2014-07,448.6,26.5,249.8,158.72,47756.74
F5,2014-08,383.4,27.7,203.9,154.59,53395.55
F5,2014-09,434.3,23.7,188.9,199.78,94071.75
F5,2014-10,372.5,27,179.8,181.19,47797.04
F5,2014-11,423.7,25,68,172.52,56662.88
F5,2014-12,375.9,24.7,110.9,144.71,82939.45
F5,2015-01,441.7,24.8,72.6,159.36,50889.68
F5,2015-02,497.8,30.9,68.5,195.05,80767.98
F5,2015-03,552.5,32.2,78.9,188.04,94086.52
F5,2015-04,435.3,31.1,244.5,192.91,50788.16
F5,2015-05,327.6,29.2,207,174.7,41755.11
F5,2015-06,360.9,25,189.5,167.45,51590.89
F5,2015-07,370.6,30.1,53.5,173.78,49084.91
F5,2015-08,391.2,26.3,200.5,173.13,75352.96
F5,2015-09,414.5,23.3,208.8,186.42,35435.93
F5,2015-10,332.4,26.6,206,189.56,28415.3
F5,2015-11,302.9,28.8,93.1,163.53,61655.84
F5,2015-12,412.7,24.2,80.1,163.46,56798.15
F5,2016-01,393.4,24.9,79.9,222.9,46537.63
F5,2016-02,516.9,31,43.8,159.45,34467.98
F5,2016-03,553.2,32.2,58.1,195.66,65095.86
F5,2016-04,387.8,30.3,214.1,145.8,76561.06
F5,2016-05,298.1,26,207.9,202.58,51273.27
F5,2016-06,445.7,25.6,141.3,192.85,34011.84
F5,2016-07,457.2,26.5,141,201.89,70184.2
F5,2016-08,451.2,25.9,159.4,137.57,66506.24
F5,2016-09,479.9,29.6,230.7,199.33,43326.3
F5,2016-10,372.8,24.9,198.2,133.05,61793.35
F5,2016-11,376.3,25.5,70,172.46,58303.08
F5,2016-12,387.4,26.5,44,181.59,25000
F5,2017-01,311.4,26.1,69.2,191.49,63365.09
F5,2017-02,585,29.4,88.1,164.6,64304.34
F5,2017-03,478.4,28.7,53.4,216.63,88805.51
F5,2017-04,368.2,30.1,138.9,214.79,54056.55
F5,2017-05,483.3,27.2,253.4,189.99,88549.39
F5,2017-06,505.4,27,237.7,150.53,75107
F5,2017-07,337,25.5,216.8,162.68,60002.8
F5,2017-08,474.4,23.7,257.5,154.4,76229.77
F5,2017-09,512.1,25.2,132.5,173.75,75065.65
F5,2017-10,524.8,27.5,165,150.28,55737.67
F5,2017-11,415.7,27.8,93.9,140.78,49691.6
F5,2017-12,369.4,28.6,34.4,139.14,50508.67
F5,2018-01,522.1,24.7,81.9,156.14,37377.18
F5,2018-02,362.4,30,46.9,209.8,51195.51
F5,2018-03,547.7,31.4,62.5,198.46,64972.28
F5,2018-04,519.3,27.7,207.1,169.07,60436.54
F5,2018-05,508.1,24.8,249.5,144.84,70970.7
F5,2018-06,481.9,25.7,229.5,178.04,49170.55
F5,2018-07,348.5,28.3,242.3,171.46,61097.95
F5,2018-08,374.2,28.4,192.5,176.78,54987.95
F5,2018-09,518.6,26.4,132.8,175.3,79130.86
F5,2018-10,346.3,27.1,192.4,179.46,74059.91
F5,2018-11,458.7,28.8,50.4,176.65,73996.92
F5,2018-12,397.7,28.1,65.5,189.93,49055.03
F5,2019-01,314.9,25.4,49.5,170.79,38461.36
F5,2019-02,418.2,30.6,43.7,250,94618.74
F5,2019-03,463.3,29.8,66.4,154.27,50669.48
F5,2019-04,488.8,31,229.1,207.16,47577.06
F5,2019-05,419.1,26.3,99.1,170.42,56574.92
F5,2019-06,287.8,23.2,231,155.71,67819.2
F5,2019-07,387.1,26.3,216.1,149.16,41497.54
F5,2019-08,346.3,28.9,125.5,195.06,53276.63
F5,2019-09,469.3,22.1,165.4,170.56,56813.57
F5,2019-10,506.3,26,275.2,153.74,72349.2
F5,2019-11,480.2,26,74.5,158.75,38682.7
F5,2019-12,496.4,24.9,59.7,154.36,48604.45
F5,2020-01,227.8,26.9,34.6,155.05,44155.08
F5,2020-02,393,28.2,48.8,177.27,79549.17
F5,2020-03,400.1,30.4,65.9,185.86,47216.98
F5,2020-04,235,31.9,126.9,202,30472.44
F5,2020-05,252.4,28.6,239.5,152.47,54257.74
F5,2020-06,317.5,25.2,193.8,177.59,64039.42
F5,2020-07,281.2,24.9,265.7,177.69,77728.37
F5,2020-08,272.7,25.6,224,153.5,54036.63
F5,2020-09,214.7,28.4,177.8,153.77,84131.71
F5,2020-10,248.7,28.2,241.4,147.06,67404.82
F5,2020-11,274.1,27.6,63.4,175.8,39063.16
F5,2020-12,239.5,24.6,81.8,157.06,56765.86
F5,2021-01,300.7,25.6,79.5,155.29,62098.31
F5,2021-02,326.2,27.2,89.9,209.54,50207.87
F5,2021-03,309.3,30.5,89,187.88,32343.1
F5,2021-04,405.4,29.9,155.5,234,65970.42
F5,2021-05,396.2,22.2,160,195.45,55010.14
F5,2021-06,316.6,25.8,254.7,159.34,79374.53
F5,2021-07,329.2,24.5,229.3,152.57,46737.62
F5,2021-08,354.2,26.1,70.6,140.5,57801.62
F5,2021-09,316.7,26.9,248,209.84,32093.28
F5,2021-10,350.1,24.9,243.2,193.86,51755.93
F5,2021-11,369.8,21.2,58.1,167.2,41877.32
F5,2021-12,366.7,26.6,65,195.67,31849.22
F5,2022-01,500.6,29.8,55.4,173.4,34658.14
F5,2022-02,463.6,29.3,73.9,167,65199.54
F5,2022-03,582.7,27,99.2,192.48,40882.61
F5,2022-04,540.2,32.2,219,148.84,65343.25
F5,2022-05,518.7,26.2,129.4,154.51,34662.25
F5,2022-06,509.1,22,176.4,170.09,72298.32
F5,2022-07,245,24.3,259.2,163.59,84650.67
F5,2022-08,493.6,24.3,218,217.82,65656.38
F5,2022-09,371.2,22.8,195,182.67,60339.46
F5,2022-10,313.3,24,129.7,193.55,56811.32
F5,2022-11,373.1,22.8,59.6,141.53,32222.36
F5,2022-12,363.8,24.6,85.7,174.35,55100.65
F5,2023-01,466,28,75.6,141.68,42732.69
F5,2023-02,488.5,28.4,13.2,189.55,49666.72
F5,2023-03,499.7,31.5,74.1,181.7,70510.51
F5,2023-04,486.4,29.8,340.7,199.21,62922.64
F5,2023-05,401.3,26.4,149,198.53,64933.99
F5,2023-06,350.5,26.5,242,150.17,50506.8
F5,2023-07,407.9,26.6,209.5,158.48,57551.6
F5,2023-08,268.3,27.1,281,162.74,29888.15
F5,2023-09,328.5,25.4,180.6,199.43,54544.45
F5,2023-10,448.2,25.9,202.5,187.19,61197.02
F5,2023-11,331.8,25.2,92.8,178.35,68379.76
F5,2023-12,403.6,24.2,66.5,181.91,51151.58
F5,2024-01,348,26.1,67.4,148.21,78182.38
F5,2024-02,427.9,32.1,60.1,176.48,43584.53
F5,2024-03,468.7,32.8,58.2,205,57821.23
F5,2024-04,438,27.5,184,192.39,50468.65
F5,2024-05,361.8,28,284.2,203.12,56354.08
F5,2024-06,345.8,28.1,200.1,173.08,59364.47
F5,2024-07,500.6,20.6,203.3,202.77,65719.64
F5,2024-08,298.3,23,215.6,154.68,59482.17
F5,2024-09,491.3,28.6,90.1,160.45,50252.6
F5,2024-10,372.6,26,204.2,192.92,58530.2
F5,2024-11,355.4,24.8,51,155.76,36857.95
F5,2024-12,459,25,66.8,143.42,59082.17
